teks,akurasi,kualitas,pelayanan,pengemasan,harga,pengiriman,s_akurasi,s_kualitas,s_pelayanan,s_pengemasan,s_harga,s_pengiriman
Mauantaaaapppp,0,1,0,0,0,0,-,positif,-,-,-,-
"Barang ok lah , tapi ongkos kirim kemahalan , total berat cuman 1 kg , tapi ongkir Rp.200.000 , trayek lokal tapi harga ibarat ke new york . Perbaikilah ...... Ok.",0,1,0,0,1,1,-,positif,-,-,negatif,negatif
"bisa langsung di charger, dan ukuran sama dgn baterai asli..semoga awet",0,1,0,0,0,0,-,positif,-,-,-,-
"lumayanlah, biar bintang aja bicara Namun akan lebih baik apabila dsertai notanya",1,0,0,0,0,0,negatif,-,-,-,-,-
"Barang sesuai, bagus, respon cepat",1,1,1,0,0,0,positif,positif,positif,-,-,-
Trimakasih paket sudah sampai dengan selamat..,0,0,0,1,0,0,-,-,-,positif,-,-
"Kok kardus dalam dah ke buka dan berantakan, kayak udah ngga baru lagi, meski jumlahnya masih utuh. Ini pembelian kali kedua, tapi packing kurang rapi",0,0,0,1,0,0,-,-,-,negatif,-,-
"gak muat buat redmi note 6 pro, kekecilan",1,0,0,0,0,0,negatif,-,-,-,-,-
"Good product, fast respon, fast shipment, recommended seller",0,1,1,0,0,1,-,positif,positif,-,-,positif
Bagus lengkap sesuai picture,1,1,0,0,0,0,positif,positif,-,-,-,-
"Barang sesuai dengan pesanan, semula hanya mau coba2 aja pesen jaketnya, eh eh tahu barangnya sangat bagus dibanding dg harganya yg murah meriah.",1,1,0,0,1,0,positif,positif,-,-,positif,-
Sesuai pesanan... Cepat sampai karna pakai gosend,1,0,0,0,0,1,positif,-,-,-,-,positif
Packing rapi dan sesuai pesanan,1,0,0,1,0,0,positif,-,-,positif,-,-
"2 kali komplain 2 kali dikasih barang rusak. Awalnya driver grab salah kirim barang akhirnya nunggu lagi kiriman selanjutnya komplain terus malah disuruh grab kembalikan barang yg salah. Jelas kesalahan pelapak. Mau ke diskusi komplain server error. Akhirnya tramsaksi di BL selesai dan dana diteruskan ke pelapak padahal transaksi masih bermasalah, komplain chat dengan pelapam dikirim penggantinya barang dites malah rusak saya komplain lagi. Untuk ke dua kalinya. Sama saja rusak tidak dapat digunakan. Akhirnya saya terima saja walaupun kecewa.",0,1,1,0,0,0,-,negatif,negatif,-,-,-
murah Tetapi akan lebih baik jika free ongkir,0,0,0,0,1,0,-,-,-,-,positif,-
"Barangnya pecah, padahal udh dikasih bubble wrap..",0,1,0,0,0,0,-,negatif,-,-,-,-
"Sampai Hari Ini BELUM SAYA TERIMA, Chat SELLER Tidak Ada RESPON, Padahal Status ONLINE!!!!",0,0,1,0,0,1,-,-,negatif,-,-,negatif
Mantap packing bagus headset jga oke sih mantap bass banget suaranya,0,1,0,1,0,0,-,positif,-,positif,-,-
Saya suka. Simple dan praktis,0,1,0,0,0,0,-,positif,-,-,-,-
Terimakasih barang sesuai pesanan... Dan pelayanan bagus,1,0,1,0,0,0,positif,-,positif,-,-,-
Murah meriah....,0,0,0,0,1,0,-,-,-,-,positif,-
Barang rusak,0,1,0,0,0,0,-,negatif,-,-,-,-
"Barang sesuai deskripsi, thanks. Recommended",1,0,0,0,0,0,positif,-,-,-,-,-
Barang sesuai apa yg dibayangkan..worth dengan harga yg dibayar,1,0,0,0,1,0,positif,-,-,-,positif,-
"Barang bagus bungkus rapi .kecewa nya kirain charger usb nya masuk ke xiomi .tahu"" nya tidak masuk.",1,1,0,1,0,0,negatif,positif,-,positif,-,-
Barang sesuai pesanan dan respon chat dari pelapak cepat.terimakasih,1,0,1,0,0,0,positif,-,positif,-,-,-
Sesuai dengan pesanan yg di inginkan.,1,0,0,0,0,0,positif,-,-,-,-,-
kurangnya cuman stekernya bengkok packingannya rapih,1,1,0,1,0,0,negatif,negatif,-,positif,-,-
Packing dan barang sesuai dengan yang diinginkan,1,0,0,1,0,0,positif,-,-,positif,-,-
Barang sesuai dengan keinginan,1,0,0,0,0,0,positif,-,-,-,-,-
sesuai gambar & pesanan warna,1,0,0,0,0,0,positif,-,-,-,-,-
"Alhamdulillah, barang sesuai Pesanan",1,0,0,0,0,0,positif,-,-,-,-,-
"Cepat sekali pengirimannya, terima kasih",0,0,0,0,0,1,-,-,-,-,-,positif
"barang sudah d terima, mantap. sesuai harapan",1,0,0,0,0,0,positif,-,-,-,-,-
Secara umum harga model logitech R400 lebih mahal dibandingkan model Targus. Saya pesan model R400 di toko ini karena paling murah harganya bisa 98 ribu. Tapi yang dikirim model Targus yang dilapak lainpun ada yang menjual 70ribuan. Jadi sekarang saya merasa kemahalan beli model targus seharga 98 ribu. Tapi saya malas urus retour atau refund nya. Karena barangnya mau saya pakai besok. Apa boleh buat.,1,0,0,0,1,0,negatif,-,-,-,negatif,-
"barang sesuai pesanan berfungsi dengan baik, terimakasih",1,0,0,0,0,0,positif,-,-,-,-,-
harga murah kualitasterbaik . semoga awet,0,1,0,0,1,0,-,positif,-,-,positif,-
Mantaaaaaaaaaaaaaaaaaaaaaap....,0,1,0,0,0,0,-,positif,-,-,-,-
Mantep dah....pas mantep di genggam dan slim,1,1,0,0,0,0,positif,positif,-,-,-,-
"Parah Bukalapak banyak jual barang rusak,sudah tidak layak aplikasi online Bukalapak,aplikasi penipu isinya pelapak jual barang rusak!!!!",0,1,0,0,0,0,-,negatif,-,-,-,-
Barang sesuai pesanan terang nya Luar Biasa..,1,1,0,0,0,0,positif,positif,-,-,-,-
"Barang bagus, pelapak kooperatif nyariin stock yg warna biru, makasih bgt ...",0,1,1,0,0,0,-,positif,positif,-,-,-
barang tidak sesuai photo,1,0,0,0,0,0,negatif,-,-,-,-,-
"Kualitas premium, bikin hp jadi aman dan keren",0,1,0,0,0,0,-,positif,-,-,-,-
"Barang bagus, langsung bisa dipakai...",0,1,0,0,0,0,-,positif,-,-,-,-
"Jangan mau beli disini, barang rusak di jual.. Begitu barang sampai, pas di cobain eh ga fungsi malah blank hitam.. Super kecewa beli disini,, semoga uang nya bermanfaat ya jual barang rusak",0,1,0,0,0,0,-,negatif,-,-,-,-
"Packing penyok jdi pengunci kaki'y patah, masih bisa di gunakan sih .",0,0,0,1,0,0,-,-,-,negatif,-,-
Bahan tipis dan lemes.. Saya kira awalnya bahan tebal.. Yah sesuai hargailah..,0,1,0,0,0,0,-,negatif,-,-,-,-
"main bagus, kualitas baik Namun akan lebih baik apabila pengiriman di pakai yg benar2 terpercaya, kalau ga ya akibatnya seperti saya, 5 hari baru sampai",0,0,0,0,0,1,-,-,-,-,-,negatif
kualitas bagus,0,1,0,0,0,0,-,positif,-,-,-,-
cacat ajg.........,0,1,0,0,0,0,-,negatif,-,-,-,-
"Saya pesan satu unit, tapi pas diterima ternyata barangnya patah krn packing dalamnya kurang baik. Dikonfirmasi ternyata mau diganti yg baru tapi saya kena biaya kirim balik barang yg rusak. Terus pas brg yg diganti datang saya juga hrs bayar biaya kirim lagi. Total saya kena 3x biaya kirim. Hitung2 jd lebih mahal deh dari harga toko. Kapok deh beli kalo packing gak bagus. Pembeli jd korban krn disuruh nanggung biaya kirim berkali2. Inilah salah satu kelemahan jual beli online",0,0,0,1,1,1,-,-,-,negatif,negatif,negatif
"Brang sesuai psanan, packing aman, pngriman cpat.. recomnded seller",1,0,0,1,0,1,positif,-,-,positif,-,positif
Sesuai pesanan .. barang cepat sampai dan respon ok,1,0,1,0,0,1,positif,-,positif,-,-,positif
Sesuai deskripsi. Responnya cepat,1,0,1,0,0,0,positif,-,positif,-,-,-
packing kurang baik,0,0,0,1,0,0,-,-,-,negatif,-,-
"Kurang pas dengan type yg diharapkan, harusnya type baterai nya L12M4E01 kapasitas 2800 mAh, sedang di label baterai tertulis L12M4A02 kapasitas 2600 mAh. Baterai bisa digunakan dgn baik, cuman tidak bisa digunakan dalam waktu yg lama. Tdk sampai satu jam sdh habis.",1,1,0,0,0,0,negatif,negatif,-,-,-,-
Bagis ga kecewa cepet sampay respon baik,0,1,1,0,0,1,-,positif,positif,-,-,positif
"Sesuai dengan pesanan, hanya ukuranya seharusnya saya lebihkan 1 size L ke XL karna ternyata agak sempit",1,0,0,0,0,0,positif,-,-,-,-,-
Bahannya enak dan nyaman dipakai,0,1,0,0,0,0,-,positif,-,-,-,-
"packing kayu aman, seller jg responsif. barangnya bagus, gambar jernih, koneksi gampang, cuma seting awal + tv manual agak bingung jd harus liat yutub dulu",0,1,1,1,0,0,-,positif,positif,positif,-,-
Botol minum nya bagus & mudah di bawa ke mana-mana..,0,1,0,0,0,0,-,positif,-,-,-,-
"Barang rusak d kasih, masa gk bisa konek, udah 2 tv gk bisa konek jg....",0,1,0,0,0,0,-,negatif,-,-,-,-
Harga kualitas fungsi produk mantab lah pokoknya... Gak nyesel belanja di lapak ini.. bikin hp asus max pro m2 gw makin keren broo.. mantab.. sukses terus buat lapak ini.. thanks broo...,0,1,0,0,1,0,-,positif,-,-,positif,-
"Pesan jam 11 jam 2 sampai mantap,,barang mulus",0,0,0,0,0,1,-,-,-,-,-,positif
"Barang sesuai info, hanya telat dipengiriman. Barang rusak langsung diganti Baru, terima kasih bos. sukses selalu",1,0,0,0,0,1,positif,-,-,-,-,negatif
Barang sesuai. Sudah dicoba Semoga awet,1,0,0,0,0,0,positif,-,-,-,-,-
Lobang charger nya gk sesuai dengan hp oppo saya. Sangat kecewa,1,1,0,0,0,0,negatif,negatif,-,-,-,-
"Barangnya sesuai iklan, walau warna merah tidak di pesan malah dikirim, terima kasih",1,0,0,0,0,0,positif,-,-,-,-,-
"kualitas bagus, pengiriman cepat",0,1,0,0,0,1,-,positif,-,-,-,positif
"setidaknya bisa buat cas laptop. Namun, akan lebih baik apabila ada kabel powernya",1,0,0,0,0,0,negatif,-,-,-,-,-
Ya baik cepat sampai packing bagus rapi,0,1,0,1,0,1,-,positif,-,positif,-,positif
kualitas dan harga bagus????,0,1,0,0,1,0,-,positif,-,-,positif,-
Matapp pokonya. Kaya gak sesui sama harganya cman 10 ribuan.,0,1,0,0,1,0,-,positif,-,-,positif,-
brg sesuai deskripsi dan sesuai pesanan,1,0,0,0,0,0,positif,-,-,-,-,-
Trims bagusbagus bagusbagus dan bagus,0,1,0,0,0,0,-,positif,-,-,-,-
Alhmdllh dpt hrga Rp 12 wlpun smpai pagi begadang....,0,0,0,0,1,0,-,-,-,-,positif,-
Saya pesan ga sesuai spek laptop saya. Diarahkan oleh pelapak sehingga saya dapat charger yg sesuai dgn spek laptop saya. Terima kasih banget ya gan...,1,0,1,0,0,0,negatif,-,positif,-,-,-
"Lumayan bagus, cuman packing kurang rapih",0,1,0,1,0,0,-,positif,-,negatif,-,-
Paking baik dan barang cepat sampai,0,0,0,1,0,1,-,-,-,positif,-,positif
cepat sampai seperti biasanya. thx seller,0,0,0,0,0,1,-,-,-,-,-,positif
"Mouse menyala,slow respon dan ngelag parah,bergerak sendiri.TIDAK RECOMEND UNTUK DI BELI",0,1,0,0,0,0,-,negatif,-,-,-,-
"Warna barang tidak sesuai, padahal dah di kasih catatan warna blue navy eh yg dtg Black.",1,0,0,0,0,0,negatif,-,-,-,-,-
"Baru 7 bulan, baterai sudah rusak. Sepuluh menit drop.",0,1,0,0,0,0,-,negatif,-,-,-,-
3 in 1..hehehe cuma kurang ga dikasih embernya slow respon fast delivery lah..,1,0,1,0,0,1,negatif,-,negatif,-,-,positif
"Mantap barangnya original,seperti ramah recommended sangat",0,1,1,0,0,0,-,positif,positif,-,-,-
"Brg gk sesuai warna,dan kc senter nya gk mulus lg,yo wes ra popolah yg pnting sampai dgn selamat.",1,1,0,0,0,0,negatif,negatif,-,-,-,-
"barang ckup bagus,dan hrga terjangkau",0,1,0,0,1,0,-,negatif,-,-,positif,-
Mantap.....sesuai......langsung uji coba,1,1,0,0,0,0,positif,positif,-,-,-,-
Harga sangat terjangkau dan kualitas kurang baik. 2 minggu beli sdh tdk bs dipakai / rusak,0,1,0,0,1,0,-,negatif,-,-,positif,-
Jahitan rapih. Packing rapih. Tp size XL kok kecil bgt ya.. ngepress di tanganku.. over all .. bagus bgt,1,1,0,1,0,0,negatif,positif,-,positif,-,-
Respon Cepat packing rapih thanks ya Gan,0,0,1,1,0,0,-,-,positif,positif,-,-
lumayan bagus. cima lambat pengiriman,0,1,0,0,0,1,-,positif,-,-,-,negatif
"Packing mantaaaap ,baang sesuai pesanan",1,0,0,1,0,0,positif,-,-,positif,-,-
"barang tidak bisa mengisi daya saat pertama kali digunakan, pelapak dihubungi via chat dan sms tidak merespon sama sekali",0,1,1,0,0,0,-,negatif,negatif,-,-,-
"bagus, pesanan sesuai",1,1,0,0,0,0,positif,positif,-,-,-,-
Oke banget.. Pengiriman barangnya.. Cukup cepet respon penjual,0,1,1,0,0,1,-,positif,positif,-,-,positif
sesuai deskripsi,1,0,0,0,0,0,positif,-,-,-,-,-
sesuai dengan harga dan ada stelan zoom out nnya recomended nihh,0,1,0,0,1,0,-,positif,-,-,positif,-
barang sudah terina sesuai pesanan thanks,1,0,0,0,0,0,positif,-,-,-,-,-
Karet bantalan sering lepas sendiri,0,1,0,0,0,0,-,negatif,-,-,-,-
Ok lah. Terjsngkau dan berfungsi dengan baik. Pelapak jg ramah,0,1,1,0,1,0,-,positif,positif,-,positif,-
Sangat mengecewakan barang rusak tidak bisa digunakan sama sekali tolong di tukar / di kembalikan uang saya,0,1,0,0,0,0,-,negatif,-,-,-,-
Sesuai deskripsi dan enak dipakai..,1,1,0,0,0,0,positif,positif,-,-,-,-
kualitas harga fungsi seauai,1,1,0,0,1,0,positif,positif,-,-,positif,-
Akan lebih baik .bila dikasih batre m cas,1,0,0,0,0,0,negatif,-,-,-,-,-
Sesuai pesanan yang di harapkan. Sukses selalu,1,0,0,0,0,0,positif,-,-,-,-,-
packing kurang bagus Namun akan lebih baik apabila garansi,0,0,0,1,0,0,-,-,-,negatif,-,-
keren...bagus sepatunya,0,1,0,0,0,0,-,positif,-,-,-,-
"Bagus... Respont cepat.. next order one day service y, thanks",0,1,1,0,0,0,-,positif,positif,-,-,-
Sesuai deskripsi dan gambar............,1,0,0,0,0,0,positif,-,-,-,-,-
"Brang sesuai psanan, packing aman, pngriman cpat.. recomnded seller",1,0,0,1,0,1,positif,-,-,positif,-,positif
Kualitas barang bagus dan respon cepat,0,1,1,0,0,0,-,positif,positif,-,-,-
"Nga ada batere dan chargernya, trs gimana mau nyalainnya",0,1,0,0,0,0,-,negatif,-,-,-,-
barang ok..sesuai pesanan..,1,1,0,0,0,0,positif,positif,-,-,-,-
"kualitas kurang bagus, karena mudah lepas di layar, kurang enak dipakai, untuk yang beli banyak dicoba dulu 1. saya beli 10buah rasanya gak bakalan laku dijual.",0,1,0,0,0,0,-,negatif,-,-,-,-
Peking bagus... tpi pas di pke tutup ya copot trs ngga merekat,0,1,0,1,0,0,-,negatif,-,positif,-,-
Barang sampai..trims untuk pelapak ..mudah2an awet ...kereeeen tp patah dudukan hpny..mhon ketelitian pengepakan lbih baik lg,0,0,0,1,0,0,-,-,-,negatif,-,-
"barang sesuai pesanan, pelayanan ramah",1,0,1,0,0,0,positif,-,positif,-,-,-
"Puas.. baru dicoba barang bagus. Dan baterenya gemuk dan tahan lama. Pengiriman bayar harga jne regular, ternyata dikirim pake jne yesus. TOP SELLER",0,1,0,0,0,1,-,positif,-,-,-,positif
"Kekurangan : - Barang tidak sesuai seperti yg di jual di lapak, padahal sudah di konfirmasi lewat chat. Misalnya : Headset, warna headset, kabel aux tidak sesuai sama port yg ada di headset. Awal nya bingung karena suara hanya terdengar pd 1 speaker saja, tp setelah di teliti ternyata kabel aux nya tidak masuk dengan sempurna. Jadi harus di akalin dengan mengupas bagian ujung agar bisa masuk dengan sempurna. - Slow respon, padahal di minta solusi atas barang yg di jual. Kelebihan : - Barang berfungsi dengan semesti nya dari bluetooth dan memakai kabel aux(walaupun sebelum nya harus di akalin dulu)",1,1,1,0,0,0,negatif,positif,negatif,-,-,-
",???????????? bagus sesuai yg dtawarkan. Harga sesuai",0,1,0,0,1,0,-,positif,-,-,positif,-
"barang bagus sesuai pesanan, terima kasih",1,1,0,0,0,0,positif,positif,-,-,-,-
"tidak ada di dlm paketan, kenapa ongkirnya mahal banget",0,0,0,0,1,1,-,-,-,-,negatif,negatif
"Alhamdulillah pas dan baik dalam pengiriman, dan respon nya good People",0,0,1,0,0,1,-,-,positif,-,-,positif
Barang Sesuai harapan... Bagus,1,0,0,0,0,0,positif,-,-,-,-,-
"Bagus, Sesuai Pesanan, Recomended seller",1,1,0,0,0,0,positif,positif,-,-,-,-
Cpt pnjualanya,0,0,1,0,0,0,-,-,positif,-,-,-
Bener bener mini simple buat di kantong ga ribet kapan pun dimana pun di bawa terus oke.... makasih gan semoga aweetttt,0,1,0,0,0,0,-,positif,-,-,-,-
"Tukang tipu dasar.......... Jualan apa nipu, barang sangat tidak sesuai",1,0,0,0,0,0,negatif,-,-,-,-,-
"Harga terjangkau,barang bagus. Ga nyesel",0,1,0,0,1,0,-,positif,-,-,positif,-
Gast respond and recommended seller,0,0,1,0,0,0,-,-,positif,-,-,-
"Sesuai ekspektasi banget, barang juga cepet sampai",1,0,0,0,0,1,positif,-,-,-,-,positif
Barang sudah diterima walau packing kurang rapi,0,0,0,1,0,0,-,-,-,negatif,-,-
"pemrosesan pesanan lama, warna yg dikirim salah, lainnya ok",1,0,1,0,0,0,negatif,-,negatif,-,-,-
rekomended seller packing rapih dapet bonus headset,0,0,0,1,0,0,-,-,-,positif,-,-
