teks,akurasi,kualitas,pelayanan,pengemasan,harga,pengiriman,s_akurasi,s_kualitas,s_pelayanan,s_pengemasan,s_harga,s_pengiriman
"Respon lambat, lambat sampai masa ampe 8 hari, barang jelek gak bisa di pake langsung gw buang",0,1,1,0,0,1,-,negatif,negatif,-,-,negatif
"Barang sesuai gambar, smuanya pass pada hpnya",1,0,0,0,0,0,positif,-,-,-,-,-
Dah ditulis di catatan pelapak *abu2* Dikirim malah kuning... huff lelah,1,0,0,0,0,0,negatif,-,-,-,-,-
barang tidak sesuai warna yang di gambar.. setelah pesan yang datang putih silver bukan gold.,1,0,0,0,0,0,negatif,-,-,-,-,-
"Packing kurang baik, jdi pada rusak dan patah,",0,1,0,1,0,0,-,negatif,-,negatif,-,-
Mantaaaaaaaaaaaaaaaaaaaaaap....,0,1,0,0,0,0,-,positif,-,-,-,-
"Produk sesuai, kiriman oke, kemasan barang oke",1,0,0,1,0,1,positif,-,-,positif,-,positif
"Barang jass, bintang yg bicara coiii",0,1,0,0,0,0,-,positif,-,-,-,-
sesuai dengan harga dan ada stelan zoom out nnya recomended nihh,0,1,0,0,1,0,-,positif,-,-,positif,-
Sekali dipake lengket ga longgar.. Bahan lembut serasa kaki dipeluk erat,0,1,0,0,0,0,-,positif,-,-,-,-
"Micro SD ini terbaca di Handphone Merk Samsung, tidak sesuai iklan merk Sandisk. Apa ini merk Samsung yg rekondisi jadi Sandisk ?",1,1,0,0,0,0,negatif,negatif,-,-,-,-
Bagus & bermanfaat deh ...................................,0,1,0,0,0,0,-,positif,-,-,-,-
saya suka barang yang d kirim.. sesuai dengan pesanan...,1,0,0,0,0,0,positif,-,-,-,-,-
Sesuai dengan pesanan..... Bagus,1,1,0,0,0,0,positif,positif,-,-,-,-
"Barang lengkap sesuai pesanan,,pertahankan gan, untuk kualitas jangan di tanya lagi",1,1,0,0,0,0,positif,positif,-,-,-,-
Slow respon Namun akan lebih baik apabila lebih cepat lg ya,0,0,1,0,0,0,-,-,negatif,-,-,-
"Kardus mahal, jangan dibeli, saya juga nyesel",0,0,0,0,1,0,-,-,-,-,negatif,-
"tinggal di kota kecil, biasanya kiriman lama. tapi ini ok, cek brg & byr senin, sabtu siang sdh smp. paking bagus, kondisi sesuai, model ini bth dikencengin kuat maklum brg murah, tp so far puas dg harga & kualitas. thx keep good work",1,1,0,1,1,1,positif,positif,-,positif,positif,positif
barang bagus buat harga segitu mantap pokoknya,0,1,0,0,1,0,-,positif,-,-,positif,-
"Yg jelas barang bukan original JBL, kabelnya juga bukan kualitas Bagus, memang anti kusut ,tapi mudah putus ,Untuk packing sih rapih ,bagus ,untuk packing bintang 5 untuk kualitas bintang 2 saya rasa cukup Dan ,tidak sesuai pada gambar barangnya",1,1,0,1,0,0,negatif,negatif,-,positif,-,-
"pemrosesan pesanan lama, warna yg dikirim salah, lainnya ok",1,0,1,0,0,0,negatif,-,negatif,-,-,-
Barangnya original pengisian sampe 3 kali full hp keren lah nih pawerbank sukses selalu bos,0,1,0,0,0,0,-,positif,-,-,-,-
"Memang saya yg bodoh, kok mau beli sparepart dg harga mahal tapi tidak sekalian dipasangkan.",0,0,0,0,1,0,-,-,-,-,negatif,-
"Sesuai pesanan, terimakasih.....",1,0,0,0,0,0,positif,-,-,-,-,-
"bagus, komplit, sesuai gambar",1,1,0,0,0,0,positif,positif,-,-,-,-
"sesuai lah cukup bagus, kecil banget ????",1,1,0,0,0,0,positif,positif,-,-,-,-
Barang sudah sampai sesuai pesanan gan.. Tp msh belum di coba.. Terima kasih,1,0,0,0,0,0,positif,-,-,-,-,-
Kualitas barang bagus dan respon cepat,0,1,1,0,0,0,-,positif,positif,-,-,-
lumayan buat nutup debu,0,1,0,0,0,0,-,positif,-,-,-,-
"harga mahal, Sony made in China, kabel Tipis jdi gak menutup kemingkinan bisa putusss .. tidak sesuai dengan harga.. terima kasih",1,1,0,0,1,0,negatif,negatif,-,-,negatif,-
Sangat recomended seller barang sesuai,1,0,0,0,0,0,positif,-,-,-,-,-
"Sesuai kebutuhan sangant bwrgun buat sholat, thks gan",0,1,0,0,0,0,-,positif,-,-,-,-
"Ukuran nya bener2 mini, saya kira ukurannya gk sekecil ini dan menggunakan battery 18650 bkn yg AA.. tp gpp terimakasih agan..",1,0,0,0,0,0,negatif,-,-,-,-,-
"Sesuai dengan gambar dan deskripsi, siip",1,0,0,0,0,0,positif,-,-,-,-,-
"gak muat buat redmi note 6 pro, kekecilan",1,0,0,0,0,0,negatif,-,-,-,-,-
Rada krg sesuai seperti talinya biasa dan gambar zoom & lumensnya ga seperti dgambar.. tp lumayan lah..,1,1,0,0,0,0,negatif,positif,-,-,-,-
Sesuai pesanan ok,1,0,0,0,0,0,positif,-,-,-,-,-
Blm sebulan udh kembung batre ya...cape deh...,0,1,0,0,0,0,-,negatif,-,-,-,-
Paking baik dan barang cepat sampai,0,0,0,1,0,1,-,-,-,positif,-,positif
"Makasih Gocap. Brang murah, tapi keeren.",0,1,0,0,1,0,-,positif,-,-,positif,-
"Sesuai deskripsi, belum dipakai, tqpi bahan cukup bagus, semoga awet.",1,1,0,0,0,0,positif,positif,-,-,-,-
"Packing dan pengiriman cepat, barang sesuai yang dipesan.",1,0,0,1,0,1,positif,-,-,positif,-,positif
"Respon penjual cepat + ramah, barang sesuai pesanan. Recommended seller",1,0,1,0,0,0,positif,-,positif,-,-,-
Barang rusak pas saya coba gak bisa buat cas k'hp...,0,1,0,0,0,0,-,negatif,-,-,-,-
sesuai pesanan,1,0,0,0,0,0,positif,-,-,-,-,-
"barang yg diterima lama sampai nya,segel barang sudah terbuka",0,1,0,0,0,1,-,negatif,-,-,-,negatif
fast charging...mudah2an awet ya,0,1,0,0,0,0,-,positif,-,-,-,-
Sesuai deskripsi dan enak dipakai..,1,1,0,0,0,0,positif,positif,-,-,-,-
pembohong besar.barang rusak juga,0,1,0,0,0,0,-,negatif,-,-,-,-
Tolong diperbaiki .. pesen hari senin tapi dikirim hari rabu,0,0,1,0,0,1,-,-,negatif,-,-,negatif
"Barang sudah saya terima sore ini, saya check bagus dan sesuai dengan pesanan",1,1,0,0,0,0,positif,positif,-,-,-,-
packing kurang aman brang penyok packing lebih kuat,0,0,0,1,0,0,-,-,-,negatif,-,-
"Kompor bagus, tapi ada kekurangan sedikit dibagian dudukan gas dimana gas susah untuk dipasangkan.",0,1,0,0,0,0,-,negatif,-,-,-,-
Lama respon n pengiriman nya. Banyak lah,0,0,1,0,0,1,-,-,negatif,-,-,negatif
"Barangnya sesuai, respon seller nya jga baik.. Semoga awet. Makasih ka. Sukses terus usahanya..",1,0,1,0,0,0,positif,-,positif,-,-,-
"Respon lambat banget, pengiriman lama sampainya. Maaf itu yang sebenarnya.",0,0,1,0,0,1,-,-,negatif,-,-,negatif
Sesuai bagus keren pas dipakainya,1,1,0,0,0,0,positif,positif,-,-,-,-
battry mungkin tahan lama sebaiknya ada buku panduannya,1,0,0,0,0,0,negatif,-,-,-,-,-
Semoga awet dah ini hp aamiin Packing bagus rapi,0,0,0,1,0,0,-,-,-,positif,-,-
berfungsi dengan baik,0,1,0,0,0,0,-,positif,-,-,-,-
"sudah pesan warna tapi dikasih warnanya beda, pesan abu abu dikasih kuning",1,0,0,0,0,0,negatif,-,-,-,-,-
Murah tapi gak murahan yg terpenting aman,0,1,0,0,1,0,-,positif,-,-,positif,-
kecewa gan barang rusak tidak bsa pakai,0,1,0,0,0,0,-,negatif,-,-,-,-
Barang tlh Sy trima..Tp syg bass & triblle kurang mantap Krn hrg sesuai jd bs sy maklumi,0,1,0,0,1,0,-,negatif,-,-,positif,-
Barang yg dikirim tidak sesuai pesanan! Keterangan dan gambar akan diubah ketika barang anda sudah sampai dirumah! Jangan mau percaya! Laknat ni penjual penipu!,1,0,1,0,0,0,negatif,-,negatif,-,-,-
cargher ga brfungsi dgn baik..nyesellah pokonya,0,1,0,0,0,0,-,negatif,-,-,-,-
Barang sesuai pesanan. Mantap mantap,1,0,0,0,0,0,positif,-,-,-,-,-
"Barang sdh sampai, respon cepet banget, semoga barang sesuai harapan ketika digunakan",0,0,1,0,0,0,-,-,positif,-,-,-
Did / bungkus kl169 isinya kc169,1,0,0,0,0,0,negatif,-,-,-,-,-
good good. barang sesuai,1,1,0,0,0,0,positif,positif,-,-,-,-
kualitas kurang ok,0,1,0,0,0,0,-,negatif,-,-,-,-
"fungsi : tidak stereo, ditest suara kiri dan kanan, pas suara sebelah kiri, yang kiri tidak bersuara. Nyala keduanya, tapi kanan semua.",0,1,0,0,0,0,-,negatif,-,-,-,-
Mantap lah sesuai pesenan...walau agak lama sampai nya,1,0,0,0,0,1,positif,-,-,-,-,negatif
Bagus sesuai pesanan jakarta - karawang 1 hari,1,1,0,0,0,0,positif,positif,-,-,-,-
sesuai dgn harganya kualitas awet,0,1,0,0,1,0,-,positif,-,-,positif,-
"Brg ya bagus sesuai gambar n harga, moga awet ...tq",1,1,0,0,0,0,positif,positif,-,-,-,-
Akhirnya dapet juga barang ini.. rare item dan barang wajib buat moto z,0,1,0,0,0,0,-,positif,-,-,-,-
"Mantap sesuai pesanan. Packing rapi, seller responsif, pengiriman cepat. sukses selalu iLoops",1,0,1,1,0,1,positif,-,positif,positif,-,positif
"Maaf sebelumnya, Barang kurang berkualitas. Kemarin coba ngecas batrai cepat habis dan ketika di cas touch screen bergerak sendiri.",0,1,0,0,0,0,-,negatif,-,-,-,-
"Pulpen sudah dikirim, tapi pengiriman tidak sesuai pilihan, saya pake J&t tapi dikirim pake secepat, trus ga ada di packing cuma alamat di tempel ke kardus pulpen.., apa karena flashsale ya, jadi asal-asalan, padahal nerima uangya full juga",1,0,0,0,0,1,negatif,-,-,-,-,negatif
"Hanya saja pengiriman lambat,biasanya jnt suka cepet 1 hari sampai tp ini 3 hari huhu",0,0,0,0,0,1,-,-,-,-,-,negatif
"barang sudah d terima, mantap. sesuai harapan",1,0,0,0,0,0,positif,-,-,-,-,-
"barang cepet sampe, cuma 1 jam pengiriman dr grab langsung ke tangan saya... top buat pelayanan'a, top jga buat buat bang grab'a...",0,0,0,0,0,1,-,-,-,-,-,positif
bahan bagus keren dah pokok nya,0,1,0,0,0,0,-,positif,-,-,-,-
"Barang bagus bungkus rapi .kecewa nya kirain charger usb nya masuk ke xiomi .tahu"" nya tidak masuk.",1,1,0,1,0,0,negatif,positif,-,positif,-,-
kualitas bagus sesuai deskripsi.,1,1,0,0,0,0,positif,positif,-,-,-,-
Beberapa ada yang tipis banget. Kurang kuat untuk memotong jempol kaki,0,1,0,0,0,0,-,negatif,-,-,-,-
barang sesuai pesanan. cpt sampai pula.,1,0,0,0,0,1,positif,-,-,-,-,positif
Murah meriah pas ukurannya bahan rada tipis tp bagus buat dobelan,1,1,0,0,1,0,positif,positif,-,-,positif,-
"Buat yang suara headsetnya gk enak, silahkan set lagi sendiri ekualisernya,awalnya punyaku juga gk enak, tpi udh aku set jadi enak banget, barang lumayan bagus lah",0,1,0,0,0,0,-,positif,-,-,-,-
"Respon penjual cepat, barang sesuai deskripsi, mantap... ????????????????????????",1,1,1,0,0,0,positif,positif,positif,-,-,-
agak kurang merekat tp mengcover hampir full,0,1,0,0,0,0,-,negatif,-,-,-,-
Terimakasih gan... Mantap...Terimakasih gan... Mantap...,0,1,0,0,0,0,-,positif,-,-,-,-
Barang sesuai pesenan ..top bgt,1,0,0,0,0,0,positif,-,-,-,-,-
"kualitas good sesuai dengan harga,berfungsi normal smua",0,1,0,0,1,0,-,positif,-,-,positif,-
"untuk harga barang segini tergolong mahal karena tidak sesuai dgn kualitas bahan terlalu tipis mudah robek, tidak layak disebut rompi lbh mirip pakaian (baju biasa).",0,1,0,0,1,0,-,negatif,-,-,negatif,-
"Harga ok, fisik biasa saja. Tetapi Barang diterima dalam keadaan speaker tidak ber fungsi mati sebelah. Kualitas kurang baik. Respon chat dari pelapak sangat kurang (score: 3)",0,1,1,0,1,0,-,negatif,negatif,-,positif,-
Barang sesuai pesanan dan cepat sampai,1,0,0,0,0,1,positif,-,-,-,-,positif
Mantap teropong mu bos. Gk kecewa la beli nya,0,1,0,0,0,0,-,positif,-,-,-,-
cacat ajg.........,0,1,0,0,0,0,-,negatif,-,-,-,-
bagus barang ya,0,1,0,0,0,0,-,positif,-,-,-,-
ini sebenarnya recomended seller tapi sayang gak cepat respon. dan sering walaupun dia online dia tidak mau membalas pesan. malah sering hanya dibaca saja. sangat disayangkan barang bagus tapi pelayanan kurang bagus. dan juga pakingnya kurang tebal padahal sudah saya ingatkan di catatan barang untuk diberi pengaman yang tebal. kondisi paket yang sampe banyak penyok. tetapi masih untung barangnya masi aman. sebaiknya catatan barang dari konsumen harus diperhatikan dan dilakukan. overall saya puas dengan baranya walaupun pelayanan perlu sangat banyak berbenah. trims,0,1,1,1,0,0,-,positif,negatif,negatif,-,-
Barang sesuai foto. Sampainya cepat. Tapi harganya Agak mahal dibandingkan dengan lapak sebelah.,1,0,0,0,1,1,positif,-,-,-,negatif,positif
slow respon..barangnya tidak sampai trnyata parah penipuan bngt..,0,0,1,0,0,0,-,-,negatif,-,-,-
nyaman dipakai,0,1,0,0,0,0,-,positif,-,-,-,-
Packingnya bagus. Produk ori banget,0,1,0,0,1,0,-,positif,-,-,positif,-
"barang tidak bisa mengisi daya saat pertama kali digunakan, pelapak dihubungi via chat dan sms tidak merespon sama sekali",0,1,1,0,0,0,-,negatif,negatif,-,-,-
"Baterai tdk mau mengisi full mentok di 62%, trus lagi asik2nya main hp tiba2 mati, bateri rusak total ngk mau nyala padahal hpnya baik2 aja waktu masih pake baterai yang lama cuman cepat lowbet",0,1,0,0,0,0,-,negatif,-,-,-,-
"Saya pesen 3 tapi dikirim cuma 1,itupun tulisan di kertasnya notanya tertulis 3",1,0,0,0,0,0,negatif,-,-,-,-,-
"Barang udah di terima, alhasil sesuai pesanan ,,barang masih dalam percobaan ..",1,0,0,0,0,0,positif,-,-,-,-,-
Barang sudah diterima walau packing kurang rapi,0,0,0,1,0,0,-,-,-,negatif,-,-
"Pengiriman cepat, barang sesuai pesanan,Good,Recomended Seller.",1,1,0,0,0,1,positif,positif,-,-,-,positif
"Pesan jam 11 jam 2 sampai mantap,,barang mulus",0,0,0,0,0,1,-,-,-,-,-,positif
Cakep sesuai dng gambar Semoga awet tanks bukalapak,1,1,0,0,0,0,positif,positif,-,-,-,-
biaya pengiriman lebih mahal dari barang..berat barang tidak sesuai...,1,0,0,0,1,1,negatif,-,-,-,negatif,negatif
Barang ori tapi harga kok bisa murah ya.. thx gan,0,1,0,0,1,0,-,positif,-,-,positif,-
Packing kurang baik.komplain tdk diterima,0,0,1,1,0,0,-,-,negatif,negatif,-,-
"Barang masi rapi, di segel.. Suara full bass.. jernih, engga dengung.. kabel no kusut bahan dari karet berkualitas (tebel).. recomended seller good ????????",0,1,0,1,0,0,-,positif,-,positif,-,-
Apa yang di ulas barang aja belum diterima tp statusnya sdh diterima ????,1,0,1,0,0,0,negatif,-,negatif,-,-,-
"kualitas mantaaaappp, produk cepat sampai",0,1,0,0,0,1,-,positif,-,-,-,positif
"tidak ada di dlm paketan, kenapa ongkirnya mahal banget",0,0,0,0,1,1,-,-,-,-,negatif,negatif
"Minta brown atau black brown dikasi hitam jd ga kepake,kualitas jg beda sm yg lbh mahal tp lmyan klo wrna sesuai sih bs dipake..",1,1,0,0,0,0,negatif,negatif,-,-,-,-
bahannya halus nyaman di pakai,0,1,0,0,0,0,-,positif,-,-,-,-
Fast respon..,0,0,1,0,0,0,-,-,positif,-,-,-
"Kerennnn, ramah, fast respon, packing baikkk",0,1,1,1,0,0,-,positif,positif,positif,-,-
Senter mungil yg pasti berguna di saat mati lampu atau lg berburu belut di sawah,0,1,0,0,0,0,-,positif,-,-,-,-
"barang muLus, packing safety...",0,1,0,1,0,0,-,positif,-,positif,-,-
Ya baik cepat sampai packing bagus rapi,0,1,0,1,0,1,-,positif,-,positif,-,positif
bagus untuk harga yg terjangkau Namun akan lebih baik apabila spesifikasi produk lebih detail,1,1,0,0,0,0,negatif,positif,-,-,-,-
Cuman plastik biasaaaaaa...........,0,1,0,0,0,0,-,negatif,-,-,-,-
packing rapi. tinggal uji coba uji coba semoga awet. garansi toko juga lama. makasih,0,0,0,1,0,0,-,-,-,positif,-,-
Manatap hebat juara barang sesuai pesanan...,1,1,0,0,0,0,positif,positif,-,-,-,-
Packing buruk penyok dikarenakan pihak kurir jadi nya ketindihan barang lain dan akhirnya di daerah tombol space penyok tapi normal/berfungsi semua,0,0,0,1,0,1,-,-,-,negatif,-,negatif
tidak sesuai deskripsi.. tidak free batterai,1,0,0,0,0,0,negatif,-,-,-,-,-
Barang tidak sesuai gambar alias seperti murahan (kardus kuning).,1,1,0,0,0,0,negatif,negatif,-,-,-,-
"Barangnya sesuai pesanan pokoknya bagus banget, nyala terang",1,1,0,0,0,0,positif,positif,-,-,-,-
"katanya untuk oppo F11, tapi gak ada poninya buat kamera depan.",1,0,0,0,0,0,negatif,-,-,-,-,-
"Barang sesuai dengan deskripsi, presisi, kuat, enak digenggam",1,1,0,0,0,0,positif,positif,-,-,-,-
Sesuai pesanan .. barang cepat sampai dan respon ok,1,0,1,0,0,1,positif,-,positif,-,-,positif
pengiriman cepat barang sesuai,1,0,0,0,0,1,positif,-,-,-,-,positif
"Barang tidak sesuai gambar,beda tapi lancar normal,di gambar mewah tapi dateng casing terbuat dari palstik dan bawah nya pun putih bukan hitam,kecewa",1,1,0,0,0,0,negatif,negatif,-,-,-,-
"Baterainya mulus, original sesuai yg ditawarkan. Siiiip dah ... best seller....",0,1,0,0,0,0,-,positif,-,-,-,-
"Barang cepat sampai, sesuai pesanan, oke deh pokok nya",1,0,0,0,0,1,positif,-,-,-,-,positif
trimakasih barang sudah sampai sesuai pesanan,1,0,0,0,0,0,positif,-,-,-,-,-
murah bagus,0,0,0,0,1,0,-,-,-,-,positif,-
Bahannya enak dan nyaman dipakai,0,1,0,0,0,0,-,positif,-,-,-,-
Barang sesuai pesanan Mantap dan tidak mengecewakan,1,0,0,0,0,0,positif,-,-,-,-,-
barang sampai dengan cepat. namun setelah dicoba ukuran L Dewasanya lebih sempit ketimbang ukuran L yang saya order sebelumnya.,1,0,0,0,0,1,negatif,-,-,-,-,positif
"kualitas jelek , angka berubah2 padahl nimbang diem",0,1,0,0,0,0,-,negatif,-,-,-,-
cept smpe Namun akan lebih baik apabila jika pake casger,1,0,0,0,0,1,negatif,-,-,-,-,positif
"kirain tebel agak keras kaya di gambar, ternyata lembek, tapi so far so good lah",1,0,0,0,0,0,negatif,-,-,-,-,-
"Overall bagus,, tp mgkn krna universal,untuk d grand new Avanza kurang lebar dikit dan kurang tinggi bawahnya",1,1,0,0,0,0,negatif,positif,-,-,-,-
"baru dipake beberapa hari udah ngedrop parah, sory cuman bisa ngasih bintang 2..",0,1,0,0,0,0,-,negatif,-,-,-,-
Barang sesuai pesanan dan cepat sampai.,1,0,0,0,0,1,positif,-,-,-,-,positif
"Warna barang tidak sesuai, padahal dah di kasih catatan warna blue navy eh yg dtg Black.",1,0,0,0,0,0,negatif,-,-,-,-,-
"bner"" dash charge setara kabel asli dr bawaan hp",0,1,0,0,0,0,-,positif,-,-,-,-
"harga, kualitas, dan fungsi seperti harapan",0,1,0,0,1,0,-,positif,-,-,positif,-
Barang nya rusak.. mau retur ongkirnya mahal,0,1,0,0,0,0,-,negatif,-,-,-,-
"Tidak sesuai gambar, masak cuma di kirim cassing nya doang, sangat mengecewakan",1,0,0,0,0,0,negatif,-,-,-,-,-
"Barang sesuai display dan pesanan, pengiriman dan respon cepat.. Mantap!!",1,0,1,0,0,1,positif,-,positif,-,-,positif
Packing kurang bagus barang jdi ada yang kendor n gk nyaman lah lain kali prhatikan packing yah d ksih bantalan busa biar anti guncang thx.,0,1,0,1,0,0,-,negatif,-,negatif,-,-
"barang rijek , gak ada suaranya sama sekali, beli 3 ya normal 2",0,1,0,0,0,0,-,negatif,-,-,-,-
Mantap lah suara nya oke. Punya,0,1,0,0,0,0,-,positif,-,-,-,-
"Barang bagus, murah... pokoknya mantap!!",0,1,0,0,1,0,-,positif,-,-,positif,-
Barang bagus sesuai gambar dan saya suka sekali,1,1,0,0,0,0,positif,positif,-,-,-,-
"Puas.. baru dicoba barang bagus. Dan baterenya gemuk dan tahan lama. Pengiriman bayar harga jne regular, ternyata dikirim pake jne yesus. TOP SELLER",0,1,0,0,0,1,-,positif,-,-,-,positif
"Packing tidak baik, sampai tujuan barang rusak, & g ada solusi,",0,1,0,1,0,0,-,negatif,-,negatif,-,-
Mantap cepet datangnya... Brg blm di coba..,0,1,0,0,0,1,-,positif,-,-,-,positif
Gak compatible sama laptop g40-70 saya. Di daya 10-20% pasti laptop saya langsung mati,1,0,0,0,0,0,negatif,-,-,-,-,-
"Untuk 1 minggu pertama agak sedikit kecewa, karna, untuk ngisi batterynya lagi HP harus kondisi mati. Cuman setelah 1 minggu HP menyala tak masalah dan normal. Lumayan awet, tapi gak seirit yg ori bawaan HP. Cuman, setelah 6 bulan pemakaian batre kembung dan soak. Maklumlah ya, oem.",1,1,0,0,0,0,negatif,negatif,-,-,-,-
"Barang sesuai pesanan , recommend seller , cuma respon chat sama packing kurang baik ,, selebihnya oke deh",1,0,1,1,0,0,positif,-,negatif,negatif,-,-
Murah meriah....,0,0,0,0,1,0,-,-,-,-,positif,-
"Barang tidak sesuai dgn gambar..frame tidak ada hijaunya,tali jam yg panjang nya tidak nge lock (mudah bergeser)",1,0,0,0,0,0,negatif,-,-,-,-,-
Desain keren. Ukuran pas di tangan. Nyaman dipakai.,0,1,0,0,0,0,-,positif,-,-,-,-
cepat sampai seperti biasanya. thx seller,0,0,0,0,0,1,-,-,-,-,-,positif
"harga murah,kualitas jelek fungsi kipasnya gak nyala kalau dilepas casannya,produk mrngecewakan",0,1,0,0,1,0,-,negatif,-,-,positif,-
Barang cepat sampai dan langsung dicoba barang sesuai pesanan. Mantap tks,1,0,0,0,0,1,positif,-,-,-,-,positif
Remote tidak bisa di pakai bos.. padahal sudah ganti baterai...saya mau pakai apa ini,0,1,0,0,0,0,-,negatif,-,-,-,-
"Cpt smpe,,,mantap hbs recomended'mksh smoqa sukses sllu,,",0,0,0,0,0,1,-,-,-,-,-,positif
Packing kurang baik Packing tongsinya jd rusak,0,1,0,1,0,0,-,negatif,-,negatif,-,-
"Sesuai pesanan, beli 2 berfungsi dengan baik.",1,1,0,0,0,0,positif,positif,-,-,-,-
Headset tidak berfungsi,0,1,0,0,0,0,-,negatif,-,-,-,-
Terang banget yak.. Sama persis dengan deskripsi..,1,1,0,0,0,0,positif,positif,-,-,-,-
barang rusak Namun akan lebih baik apabila diganti baru,0,1,0,0,0,0,-,negatif,-,-,-,-
Sangat mengecewakan barang rusak tidak bisa digunakan sama sekali tolong di tukar / di kembalikan uang saya,0,1,0,0,0,0,-,negatif,-,-,-,-
Kualitas bagus.. dipasang di laptop sesuai dan berjalan normal.. tapi pelapak nya slow respon banget,0,1,1,0,0,0,-,positif,negatif,-,-,-
"garansi yg ditawarkan tidak sesuai, katanya 6 bulan tp setelah saya baca syaratnya harus beri feedback sebelum 3x24 jam. jujur kalo cuma dikasih waktu segitu pasti barangnya bagus2 aja gak terlihat kerusakan. tp setelah dipakai dua minggu ternyata udah drop batrenya pemakaian wajar. dan gak bisa claim garansi. jadi yg katanya garansi 6 bulan cuma hoax.",1,1,0,0,0,0,negatif,negatif,-,-,-,-
